ID,Maxim,Standard_GPT-3.5,Zero_GPT-3.5,CoT_GPT-3.5,Contrastive_GPT-3.5,Standard_GPT-4o,Zero_GPT-4o,CoT_GPT-4o,Contrastive_GPT-4o,Standard_Gemini-1.0,Zero_Gemini-1.0,CoT_Gemini-1.0,Contrastive_Gemini-1.0,Standard_Gemini-1.5,Zero_Gemini-1.5,CoT_Gemini-1.5,Contrastive_Gemini-1.5,Standard_Llama3,Zero_Llama3,CoT_Llama3,Contrastive_Llama3,Standard_Clova-X,Zero_Clova-X,CoT_Clova-X,Contrastive_Clova-X
52,quality,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
54,quality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
55,quality,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1
56,quality,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1
57,quality,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
58,quality,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1
59,quality,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
60,quality,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,3,2,3,1,1,1,1
61,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
62,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,relation,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1
64,relation,3,3,2,2,1,2,1,1,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1
65,relation,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1
66,relation,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
67,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
68,relation,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1
69,relation,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2
70,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
71,relation,3,1,4,3,1,1,1,1,3,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1
72,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
73,relation,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,2,2
74,relation,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
75,relation,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,relation,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2
77,relation,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
78,relation,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
79,relation,2,2,2,2,2,2,1,1,2,2,2,2,3,3,1,1,2,1,2,2,1,1,1,1
80,relation,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1
81,relation,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1
82,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
83,relation,1,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
84,relation,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
85,relation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1
86,relation,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1
87,relation,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
88,relation,2,2,2,2,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,3,1,1,1,2
89,relation,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1
90,relation,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,manner,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1
92,manner,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1
93,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1
94,manner,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2
95,manner,3,2,3,3,1,1,1,1,2,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1
96,manner,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
97,manner,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2
98,manner,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1
99,manner,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,3,2,2,2,2
100,manner,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
101,manner,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1
102,manner,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1
104,manner,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1
105,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
106,manner,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
107,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1
108,manner,1,1,3,3,1,2,1,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1
109,manner,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1
110,manner,2,1,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1,1,1,1
111,manner,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
112,manner,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
113,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
114,manner,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1
115,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
116,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1
117,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3
118,manner,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2
119,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,manner,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
